,0-4,5-9,10-12,13-14,15-17,18-19,20-21,22-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+
0-4,0.718,0.011,0.035,0.041,0.038,0.036,0.034,0.077,0.177,0.445,0.501,0.242,0.098,0.050,0.078,0.089,0.118,0.073,0.018
5-9,0.016,0.687,0.016,0.074,0.058,0.028,0.023,0.036,0.085,0.161,0.398,0.465,0.238,0.094,0.057,0.080,0.089,0.074,0.036
10-12,0.032,0.026,0.495,0.196,0.075,0.016,0.021,0.011,0.030,0.048,0.096,0.225,0.196,0.097,0.031,0.031,0.033,0.046,0.022
13-14,0.109,0.209,0.316,0.440,0.246,0.034,0.016,0.025,0.027,0.041,0.103,0.321,0.388,0.258,0.062,0.040,0.041,0.051,0.134
15-17,0.069,0.113,0.084,0.170,0.761,0.141,0.032,0.026,0.057,0.039,0.071,0.151,0.296,0.224,0.113,0.042,0.025,0.027,0.062
18-19,0.092,0.077,0.026,0.033,0.197,0.614,0.221,0.129,0.117,0.096,0.058,0.123,0.187,0.275,0.135,0.041,0.021,0.018,0.085
20-21,0.082,0.060,0.030,0.014,0.043,0.208,0.555,0.317,0.240,0.110,0.094,0.106,0.133,0.267,0.144,0.056,0.029,0.044,0.158
22-24,0.119,0.059,0.011,0.014,0.022,0.077,0.202,0.495,0.401,0.160,0.078,0.079,0.095,0.170,0.119,0.073,0.042,0.060,0.122
25-29,0.155,0.079,0.016,0.009,0.027,0.040,0.086,0.226,0.687,0.332,0.147,0.097,0.083,0.110,0.135,0.095,0.055,0.045,0.091
30-34,0.393,0.150,0.026,0.014,0.019,0.033,0.040,0.092,0.336,0.718,0.335,0.150,0.109,0.119,0.121,0.111,0.101,0.059,0.073
35-39,0.451,0.378,0.052,0.035,0.035,0.020,0.035,0.046,0.151,0.342,0.584,0.300,0.149,0.109,0.086,0.099,0.100,0.072,0.078
40-44,0.239,0.485,0.135,0.119,0.081,0.047,0.043,0.050,0.110,0.167,0.329,0.513,0.287,0.174,0.097,0.090,0.101,0.084,0.088
45-49,0.086,0.220,0.104,0.128,0.141,0.064,0.048,0.054,0.083,0.108,0.145,0.255,0.402,0.242,0.119,0.068,0.066,0.070,0.129
50-54,0.043,0.085,0.050,0.082,0.103,0.090,0.093,0.094,0.107,0.114,0.103,0.149,0.235,0.418,0.226,0.119,0.083,0.068,0.155
55-59,0.073,0.056,0.017,0.022,0.057,0.049,0.055,0.072,0.144,0.127,0.089,0.091,0.126,0.247,0.392,0.225,0.120,0.098,0.147
60-64,0.096,0.092,0.020,0.016,0.025,0.017,0.025,0.051,0.118,0.137,0.120,0.100,0.085,0.153,0.263,0.379,0.226,0.125,0.191
65-69,0.137,0.110,0.023,0.018,0.016,0.009,0.014,0.032,0.074,0.133,0.129,0.119,0.088,0.114,0.151,0.244,0.378,0.240,0.215
70-74,0.088,0.095,0.034,0.023,0.018,0.009,0.022,0.047,0.063,0.081,0.096,0.104,0.097,0.097,0.128,0.139,0.249,0.378,0.318
75+,0.013,0.027,0.010,0.036,0.024,0.023,0.046,0.056,0.075,0.059,0.062,0.063,0.105,0.130,0.113,0.126,0.131,0.187,0.320
